VidroLiquidoBranco300mm
227-   [24.50;24.50;24.50;24.75;24.75;24.25;24.25;23.75;24.25;24.00;24.75;26.75;26.00;24.50;24.25;24.25;24.50;24.50;25.25;32.00;31.00;24.75;24.25;23.75;23.75;23.75;25.50;36.25;33.75;24.75;23.75;23.00;24.25;24.75;25.75;37.75;33.25;24.50;24.00;23.25;23.25;23.50;24.75;33.50;28.50;23.75;23.00;23.00;22.50;23.00;23.50;25.25;24.00;23.50;23.00;22.25;22.50;23.00;23.25;23.25;22.75;22.50;22.75;21.75]
712-   [24.25;23.50;24.75;24.75;24.75;24.00;24.25;24.00;24.00;24.00;24.50;26.75;26.50;24.25;23.75;24.00;24.25;24.00;24.75;32.25;30.75;24.75;24.25;23.00;24.00;23.75;25.25;36.00;33.50;25.00;23.75;22.75;23.75;24.00;25.25;37.50;33.50;24.25;23.50;23.00;23.25;23.50;24.50;33.25;28.25;23.75;23.25;23.00;23.25;22.75;23.50;24.75;24.25;23.25;22.75;22.25;21.75;22.50;22.75;23.00;23.00;22.00;22.50;22.25]
1197-  [24.00;23.50;24.25;25.25;25.00;24.25;24.25;23.75;24.50;24.00;24.50;26.50;26.50;24.50;23.75;23.50;23.75;23.75;24.75;31.75;30.75;25.00;24.00;23.50;23.75;24.00;25.00;36.50;33.25;24.50;24.00;23.25;24.00;24.00;25.50;37.50;33.50;24.00;24.00;23.00;23.25;23.25;24.50;33.00;28.00;23.75;22.75;22.75;23.00;22.75;23.75;24.50;24.25;22.75;22.50;21.75;23.00;22.50;23.00;22.75;23.25;22.50;22.75;22.00]
1682-  [24.00;23.50;23.75;24.50;24.75;23.75;24.00;23.75;24.00;23.50;24.25;26.25;26.50;24.00;23.75;23.50;24.00;24.25;25.00;32.25;30.50;24.50;23.75;23.50;23.50;23.50;25.00;36.25;33.25;24.50;23.75;23.00;23.75;24.00;25.00;37.50;33.00;24.25;23.50;23.00;23.25;23.50;24.50;33.00;28.00;23.50;22.50;22.50;23.25;23.00;23.25;24.75;24.00;22.75;23.00;22.00;22.00;22.25;22.75;22.75;22.50;21.50;22.25;22.00]
2167-  [23.25;23.25;24.50;24.75;24.75;24.00;24.50;23.25;24.25;24.00;25.00;26.50;26.50;24.50;24.25;23.50;24.00;24.00;24.75;32.00;30.25;24.50;24.00;23.00;23.50;23.75;25.00;36.25;33.25;24.50;23.50;22.75;23.75;24.00;25.25;37.50;33.00;24.25;23.00;22.75;23.50;23.50;24.50;33.00;27.75;23.75;23.00;22.75;23.00;22.75;23.25;24.50;23.50;23.50;22.50;21.75;22.25;22.50;23.00;23.25;22.75;22.25;22.00;22.00]
2652-  [24.25;23.75;24.00;24.50;25.00;23.75;24.25;23.50;23.75;23.50;24.50;26.50;26.25;24.50;23.25;23.25;24.50;23.75;25.00;32.25;30.75;24.75;24.00;23.25;23.50;23.25;24.75;36.00;33.25;24.50;23.50;23.50;23.50;24.00;25.50;37.25;33.00;24.25;24.00;22.50;23.25;23.50;24.75;33.25;28.00;23.50;23.00;23.00;22.75;23.00;23.50;24.75;23.50;22.75;23.00;22.25;22.50;23.00;23.00;22.75;23.00;22.25;22.50;22.00]
3137-  [23.75;23.50;24.50;24.75;24.50;24.00;24.00;24.00;24.25;23.75;24.25;26.50;26.25;24.50;23.75;24.25;24.00;24.25;24.25;31.75;30.50;24.50;24.00;23.50;24.00;23.75;25.00;36.00;33.75;24.50;23.75;23.00;23.75;24.00;25.25;37.25;32.75;24.50;23.75;22.50;23.25;23.75;24.25;33.25;28.25;24.00;23.00;22.75;23.00;23.00;23.25;24.75;24.25;23.00;22.25;21.75;22.50;23.00;23.25;22.50;23.00;22.50;22.75;22.25]
3622-  [24.50;23.25;23.50;24.50;24.25;24.00;24.25;24.00;24.00;24.00;24.50;26.50;26.25;24.25;24.00;23.75;23.75;24.00;25.00;32.00;30.75;24.75;24.25;23.50;24.00;23.75;25.00;36.00;33.50;24.25;23.75;23.00;24.00;24.25;25.25;37.50;33.25;24.25;23.50;23.00;23.00;23.50;24.75;33.25;29.00;23.50;22.75;23.00;23.00;22.75;24.00;24.50;24.25;23.25;22.75;21.75;23.00;22.75;23.25;23.25;22.75;22.25;23.00;22.25]
4107-  [24.00;23.25;23.75;24.75;25.00;24.00;24.25;23.25;24.00;23.50;24.75;26.25;26.50;24.50;23.75;24.00;24.00;24.00;25.00;31.75;30.75;24.75;24.00;23.00;23.50;23.75;25.00;36.25;33.00;24.50;23.75;23.00;23.75;24.25;25.25;37.25;33.25;24.50;23.50;23.00;23.25;23.25;24.50;33.25;28.00;23.75;23.00;22.75;23.25;22.75;23.50;24.75;23.75;23.25;23.00;22.25;22.25;22.50;23.25;23.25;22.50;22.25;22.75;22.50]
4592-  [24.00;23.75;24.50;24.75;24.50;24.00;24.00;23.75;23.75;24.00;24.50;26.25;26.50;24.25;23.25;24.00;24.00;24.00;25.00;31.75;30.50;24.75;23.75;23.75;23.75;23.75;24.50;36.25;33.25;24.50;23.50;22.75;23.50;23.50;25.25;37.25;33.25;24.00;23.75;23.25;23.25;23.75;24.50;33.50;28.50;24.00;23.00;23.25;22.75;23.00;23.25;24.75;24.25;22.75;23.00;21.75;22.75;23.25;23.00;23.50;23.25;21.50;22.75;21.50]
